DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/08/23 04:21:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.93067,-48.11988,1.1
2021/08/23 04:21:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,50.0,0.0,1.0,-15.99135,-47.69913,1.6
2021/08/23 04:21:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,50.0,0.0,1.0,-15.98804,-47.69856,1.0
2021/08/23 04:21:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,-999.0,-15.56812,-47.85637,1.4
2021/08/24 23:03:55,MSG-03,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.63,-48.14,
2021/08/24 23:03:55,MSG-03,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.15,
2021/08/24 23:03:55,MSG-03,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.63,-48.19,
2021/08/24 23:53:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.13,
2021/08/24 23:53:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 23:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.13,
2021/08/24 23:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 23:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.13,
2021/08/24 23:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 23:23:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.1,
2021/08/24 23:23:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.15,
2021/08/24 23:23:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.14,
2021/08/24 23:23:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 22:53:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.13,
2021/08/24 22:53:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 23:03:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.13,
2021/08/24 23:03:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.12,
2021/08/24 22:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.64,-48.1,
2021/08/24 22:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,32.0,0.0,1.0,-15.66,-48.1,
