latitude,longitude,objectid,id_grade,id_20km_rcp4,ano,periodo,mntp,mxtp,ocis,prec,ur2m,u10m,v10m,u100,v100,tp2m,
null,null,2006136,17010,138,2006,1136073600000,18.3149,27.6853,284,1346,55.7129,-1.86347,-0.623133,-3.19648,-1.24243,23.0685,
null,null,2006137,17011,139,2006,1136073600000,18.1973,27.7745,283,1548,55.7272,-2.12239,-0.583756,-3.05765,-0.857325,23.0833,
null,null,2006138,17012,140,2006,1136073600000,18.4572,28.2135,282,1748,54.9549,-2.10956,-0.533013,-2.72154,-0.736665,23.4491,
null,null,2006139,17013,141,2006,1136073600000,17.7633,27.4331,285,1420,55.9196,-2.26735,-0.408316,-3.48282,-0.763437,22.6811,
null,null,2006140,17014,142,2006,1136073600000,16.8187,26.3842,290,831,57.5705,-2.37565,-0.430415,-3.67529,-0.392334,21.6381,
null,null,2006141,17015,143,2006,1136073600000,16.9978,26.629,292,799,57.1004,-1.94457,-0.444521,-3.2043,-0.440252,21.8848,
null,null,2006142,17016,144,2006,1136073600000,19.0939,29.0923,286,1000,53.2068,-1.7424,-0.46564,-2.5581,-0.58085,24.2322,
null,null,2006143,17017,145,2006,1136073600000,20.2501,30.3625,283,1059,51.6949,-1.31326,-0.50301,-1.95835,-0.691494,25.4241,
null,null,2006144,17018,146,2006,1136073600000,19.7685,30.0394,283,1085,52.3855,-1.77971,-0.447679,-2.69588,-0.698032,25.0015,
null,null,2006145,17019,147,2006,1136073600000,18.2096,29.1217,285,951,54.1507,-1.70467,-0.462504,-3.23057,-0.491741,23.7855,
null,null,2006146,17020,148,2006,1136073600000,17.9594,29.2316,285,910,54.1401,-2.17329,-0.295941,-2.99201,-0.599436,23.7267,
null,null,2006147,17021,149,2006,1136073600000,17.81,29.1733,285,903,54.1085,-2.33683,-0.533342,-3.51669,-0.926114,23.619,
null,null,2006148,17022,150,2006,1136073600000,17.0513,28.3494,289,849,54.7324,-2.51673,-0.619214,-4.09324,-1.06354,22.8101,
null,null,2006149,17023,151,2006,1136073600000,16.7043,28.0325,291,836,55.0466,-2.88089,-0.778858,-4.29325,-1.02705,22.4693,
null,null,2006150,17024,152,2006,1136073600000,16.6103,27.8844,292,800,55.4391,-3.01135,-0.79623,-4.28738,-1.04704,22.3327,
null,null,2006151,18006,153,2006,1136073600000,19.3055,28.9793,278,1487,56.7312,-1.44538,-0.749262,-2.16209,-1.0845,24.254,
null,null,2006152,18007,154,2006,1136073600000,20.0311,29.8585,276,1945,54.9807,-1.42946,-0.778739,-1.77498,-1.02661,25.0835,
null,null,2006153,18008,155,2006,1136073600000,20.0879,29.9414,277,2035,53.9313,-1.1854,-0.657266,-1.7817,-0.788064,25.1761,
null,null,2006154,18009,156,2006,1136073600000,19.3777,29.0885,279,1856,54.4305,-1.56143,-0.844119,-2.37851,-1.20951,24.3736,
null,null,2006155,18010,157,2006,1136073600000,17.7604,27.3503,283,1179,56.6987,-1.66414,-0.765838,-3.1613,-1.42992,22.6262,
null,null,2006156,18011,158,2006,1136073600000,17.0417,26.6904,285,1056,57.6762,-2.21969,-1.05988,-3.11603,-1.33895,21.9056,
null,null,2006157,18012,159,2006,1136073600000,17.4955,27.2407,282,1551,56.8806,-2.25063,-0.975147,-2.99024,-1.4632,22.44,
null,null,2006158,18013,160,2006,1136073600000,16.7925,26.3571,286,1016,58.0762,-2.18509,-0.525861,-3.60831,-1.26448,21.5929,
null,null,2006159,18014,161,2006,1136073600000,16.5137,26.07,289,970,58.6149,-2.25569,-0.484319,-3.55861,-0.680102,21.3351,
null,null,2006160,18015,162,2006,1136073600000,18.1363,27.7302,287,999,55.3997,-1.30073,-0.499863,-2.58132,-0.313622,23.0228,
null,null,2006161,18016,163,2006,1136073600000,20.4648,30.4146,282,1191,51.2455,-1.40798,-0.47282,-1.93513,-0.559211,25.5926,
null,null,2006162,18017,164,2006,1136073600000,20.4827,30.3862,281,1159,51.5223,-1.34677,-0.55735,-2.03987,-0.722327,25.5552,
null,null,2006163,18018,165,2006,1136073600000,18.4698,28.7437,285,968,54.4557,-2.20004,-0.590103,-2.99808,-0.757247,23.7074,
null,null,2006164,18019,166,2006,1136073600000,17.2182,27.91,287,864,55.9903,-2.04353,-0.54596,-3.14333,-0.694514,22.6765,
null,null,2006165,18020,167,2006,1136073600000,17.7606,28.8352,285,941,54.6996,-2.23676,-0.57,-3.16464,-0.857687,23.4297,
null,null,2006166,18021,168,2006,1136073600000,17.1639,28.204,287,854,55.5206,-2.59197,-0.818422,-3.58163,-1.08952,22.7874,
null,null,2006167,18022,169,2006,1136073600000,16.7779,27.8936,289,848,55.7408,-2.64557,-0.810863,-3.97139,-1.08059,22.4295,
null,null,2006168,18023,170,2006,1136073600000,16.67,27.9638,289,837,55.4546,-2.82231,-0.848694,-4.06067,-1.09612,22.4103,
null,null,2006169,18024,171,2006,1136073600000,16.5437,27.8096,291,822,55.919,-2.92734,-0.879324,-4.09346,-1.15845,22.2611,
null,null,2006170,19006,172,2006,1136073600000,19.2352,28.8945,275,1917,57.5846,-1.57244,-0.811685,-2.33516,-1.03802,24.1617,
null,null,2006171,19007,173,2006,1136073600000,18.8391,28.4772,277,1676,57.1529,-1.54416,-0.727139,-2.19594,-0.737754,23.759,
null,null,2006172,19008,174,2006,1136073600000,18.6746,28.406,279,1636,56.1039,-1.49054,-0.664926,-2.09585,-0.842975,23.6706,
null,null,2006173,19009,175,2006,1136073600000,18.2915,28.1142,280,1543,56.2719,-1.63786,-0.80018,-2.26091,-1.05349,23.3185,
null,null,2006174,19010,176,2006,1136073600000,17.4973,27.3263,282,1274,57.2379,-1.71324,-0.809772,-2.88347,-1.46721,22.4812,
null,null,2006175,19011,177,2006,1136073600000,16.8208,26.6709,284,1056,58.2099,-2.04302,-0.991204,-2.89403,-1.3626,21.7755,
null,null,2006176,19012,178,2006,1136073600000,16.61,26.4491,284,1068,58.5668,-2.11849,-0.947612,-2.95022,-1.34655,21.5303,
null,null,2006177,19013,179,2006,1136073600000,15.9779,25.6007,289,856,59.6895,-2.10193,-0.96875,-3.54324,-1.58246,20.7283,
null,null,2006178,19014,180,2006,1136073600000,16.2676,25.8241,291,631,59.1,-2.32235,-1.03986,-3.4442,-1.42725,21.0101,
null,null,2006179,19015,181,2006,1136073600000,19.1683,28.6676,283,1113,54.0531,-1.50101,-0.469385,-2.47812,-0.981417,23.9864,
null,null,2006180,19016,182,2006,1136073600000,19.8809,29.5102,280,1272,52.8465,-1.51125,-0.375109,-1.8708,-0.495985,24.7839,
null,null,2006181,19017,183,2006,1136073600000,18.6407,28.742,283,1079,54.5197,-1.5525,-0.524289,-2.44359,-0.602662,23.8031,
null,null,2006182,19018,184,2006,1136073600000,17.1172,27.6362,286,907,56.7051,-2.0685,-0.600522,-2.90812,-0.563334,22.4794,
null,null,2006183,19019,185,2006,1136073600000,17.2111,27.8779,287,812,56.0537,-2.08667,-0.639373,-2.95,-0.740132,22.6606,
null,null,2006184,19020,186,2006,1136073600000,17.8562,28.8044,285,893,55.0169,-2.09114,-0.707756,-2.96472,-0.954276,23.4545,
null,null,2006185,19021,187,2006,1136073600000,17.4318,28.3871,286,854,55.473,-2.5618,-0.891917,-3.39032,-1.12314,23.0128,
null,null,2006186,19022,188,2006,1136073600000,16.8116,27.8256,288,822,56.0213,-2.54519,-0.872881,-3.84702,-1.22967,22.4039,
null,null,2006187,19023,189,2006,1136073600000,16.6283,27.8581,288,829,56.0077,-2.77464,-0.932099,-3.9629,-1.24578,22.3222,
null,null,2006188,19024,190,2006,1136073600000,16.5467,27.7036,290,818,56.3081,-2.88774,-0.973659,-3.9841,-1.29647,22.2028,
null,null,2006189,20006,191,2006,1136073600000,18.1453,27.4836,278,1432,58.7302,-1.55753,-0.632697,-2.68933,-1.45575,22.8436,
null,null,2006190,20007,192,2006,1136073600000,17.8926,27.5718,278,1516,58.8316,-1.64433,-0.861593,-2.2739,-1.01732,22.821,
null,null,2006191,20008,193,2006,1136073600000,17.8702,27.8683,278,1470,57.6811,-1.56767,-0.756646,-1.9647,-0.768163,22.9922,
